repo	set_count	rbf_values	top_manufacturer	year_range	url
Arcade-KickAndRun_MiSTer	1	KickAndRun	Taito	1986-1986	https://github.com/MiSTer-devel/Arcade-KickAndRun_MiSTer
Arcade-Kyugo_MiSTer	8	Kyugo	Sega	1984-1987	https://github.com/MiSTer-devel/Arcade-Kyugo_MiSTer
Arcade-LadyBug_MiSTer	4	ladybug	Universal	1981-1982	https://github.com/MiSTer-devel/Arcade-LadyBug_MiSTer
Arcade-Legionnaire_MiSTer	3	Legionnaire	Tad Corporation	1992-1992	https://github.com/MiSTer-devel/Arcade-Legionnaire_MiSTer
Arcade-LunarLander_MiSTer	1	lunarlander	Atari	1979-1979	https://github.com/MiSTer-devel/Arcade-LunarLander_MiSTer
Arcade-MCR1_MiSTer	2	mcr1	Midway	1980-1980	https://github.com/MiSTer-devel/Arcade-MCR1_MiSTer
Arcade-MCR2_MiSTer	6	mcr2	Bally	1982-1984	https://github.com/MiSTer-devel/Arcade-MCR2_MiSTer
Arcade-MCR3Mono_MiSTer	6	mcr3mono	Bally	1984-1987	https://github.com/MiSTer-devel/Arcade-MCR3Mono_MiSTer
Arcade-MCR3Scroll_MiSTer	3	mcr3scroll	Bally	1983-1985	https://github.com/MiSTer-devel/Arcade-MCR3Scroll_MiSTer
Arcade-MCR3_MiSTer	4	mcr3	Bally	1983-1984	https://github.com/MiSTer-devel/Arcade-MCR3_MiSTer
Arcade-MajorHavoc_MiSTer	1	MajorHavoc	Atari	1983-1983	https://github.com/MiSTer-devel/Arcade-MajorHavoc_MiSTer
Arcade-MarioBros_MiSTer	1	mariobros	Nintendo	1983-1983	https://github.com/MiSTer-devel/Arcade-MarioBros_MiSTer
Arcade-MissileCommand_MiSTer	1	MissileCommand	Atari Games	1980-1980	https://github.com/MiSTer-devel/Arcade-MissileCommand_MiSTer
Arcade-MoonPatrol_MiSTer	1	moonpatrol	Irem	1982-1982	https://github.com/MiSTer-devel/Arcade-MoonPatrol_MiSTer
